"PO Monitoring - Monitoring"

Affiliate,All
"Cost Center",All
Status,All
Date,09/16/2021
Affiliate,"Cost Center",Date,"PO No.",Supplier,"Item Classification","Item Name",Unit,"Expected Qty","Actual Qty",Balance,Status
"Syntactics, Inc.",,,2021-08-18,PO1-103,,Tools,Hammer,unit,10.00,0.00,10.00,"Not Served"
"Syntactics, Inc.","Syntactics Cost Center",,2021-08-18,PO-2,,"Sample Class","Sample Item",l,12.00,0.00,12.00,"Not Served"
"Syntactics, Inc.","Syntactics Cost Center",,2021-08-18,PO-2,,Beverage,"Del Monte Pineapple Juice",ml,100.00,0.00,100.00,"Not Served"
"Syntactics, Inc.","Syntactics Cost Center",,2021-08-18,PO-2,,Beverage,"Nescafe Coffee",ml,90.00,0.00,90.00,"Not Served"
"Syntactics, Inc.",,,2021-08-11,PO-11,,Tools,Hammer,unit,3.00,1.00,2.00,Incomplete
"Syntactics, Inc.",,,2021-08-11,PO-11,,Tools,"Iterm 2",ml,2.00,1.00,1.00,Incomplete
"Syntactics, Inc.",,,2021-08-11,PO-11,,Classiefied,"Classified's Item",ciu,1.00,0.00,1.00,"Not Served"
"Syntactics, Inc.",,,2021-03-10,PO1-102,,Tools,Hammer,unit,20.00,10.00,10.00,Incomplete
"Syntactics, Inc.",,,2021-03-10,PO1-102,,Tools,"Iterm 2",ml,20.00,0.00,20.00,"Not Served"
"Syntactics, Inc.",,,2020-06-18,PO-10,,Tools,Hammer,unit,10.00,0.00,10.00,"Not Served"
"Syntactics, Inc.",,,2020-06-01,PO1-101,,Tools,Hammer,unit,"1,000.00","1,398.00",-398.00,Complete
"Syntactics, Inc.",,,2020-06-01,PO1-101,,Tools,"Iterm 2",ml,"1,000.00","1,200.00",-200.00,Complete
