"Truck Maintenance"

"Date ",2022-10-10

Date,"Reference Number",Type,"Plate Number",Model,Odometer,Remarks
2022-10-10,33,"Pickup Truck","SAM 1234",,320,"This is updated"
2022-01-17,33,"Pickup Truck","SAM 1234",,320,"Sample new truck maintenance, check if duplicated after edit"
2022-01-17,33,"Pickup Truck","SAM 1234",,320,
2022-01-24,33,"Tow Truck","TEST 0987",,230,"01-24-2022 New truck maintenance record"
2022-01-26,33,"Tow Truck","TEST 0987",,230,123
2022-01-27,33,"Tow Truck","TEST 0987",,230,
2022-01-24,33,"Tow Truck","TEST 0987",,0,"01-24-2022 New truck maintenance record"
2022-01-26,33,"Tow Truck","TEST 0987",,0,123
2022-01-27,33,"Tow Truck","TEST 0987",,0,
2022-01-24,33,"Tow Truck","TEST 0987",,0,"01-24-2022 New truck maintenance record"
2022-01-26,33,"Tow Truck","TEST 0987",,0,123
2022-01-27,33,"Tow Truck","TEST 0987",,0,
2022-01-24,33,"Tow Truck","TEST 0987",,500,"01-24-2022 New truck maintenance record"
2022-01-26,33,"Tow Truck","TEST 0987",,500,123
2022-01-27,33,"Tow Truck","TEST 0987",,500,
2022-10-10,33,"Pickup Truck","RTV 1234",N,0,
2022-01-17,33,"Semi-trailer Truck","TEST 1234",S,,12312
2022-01-24,33,"Semi-trailer Truck","TEST 1234",S,,
2022-01-24,33,"Semi-trailer Truck","TEST 1234",S,,
2022-01-24,33,"Semi-trailer Truck","TEST 1234",S,,
