"Truck Profile"

Date,2022-10-10

"Plate Number",Type,Axle,Color,"Date Acquired","Date Deployed",Capacity,Status
Test123,"Tow Truck",0,#FFFFFF,2021-12-15,2021-12-15,0,1
"ABC 1234","Dump Truck",0,#FF6600,2021-08-08,2021-12-15,0,1
"ABD 1234","Tow Truck",0,#FF6600,2021-12-15,2021-12-20,0,1
LTO123,"Tow Truck",0,#FFFFFF,2021-12-16,2021-12-16,100,1
LTO123test,"Dump Truck",0,#FFFFFF,2021-12-16,2021-12-16,0,1
LTO123123123,"Dump Truck",0,#FFFFFF,2021-12-17,2021-12-18,123,2
1232312312,"Dump Truck",0,#FFFFFF,2021-12-16,2021-12-16,123,1
123123,"Semi-trailer Truck",0,#FFFFFF,2021-12-16,2021-12-16,0,1
"RTV 1234","Pickup Truck",500,#FF0000,2021-10-18,2021-11-08,5,2
"NEW 1234","Tow Truck",0,#FF0000,2021-12-06,2021-12-20,5,1
TESTLTO123,"Tow Truck",10,#008000,2021-12-21,2021-12-22,100,2
LTO123,"Tow Truck",100,#808000,2021-12-20,2021-12-22,100,2
TestThis,"Semi-trailer Truck",0,#FFFFFF,2021-12-20,2021-12-20,0,1
"TEST 1234","Semi-trailer Truck",1000,#FFFFFF,2021-10-11,2021-12-20,1000,2
"LPT 1234",10-wheeler,0,#FFFFFF,2021-11-15,2021-11-22,10000,1
"SAM 1234","Pickup Truck",0,#FF9900,2021-11-01,2021-11-08,5,2
"TEST 0987","Tow Truck",0,#FFFFFF,2021-12-21,2021-12-21,0,1
TestEmptyDate,"Tow Truck",0,#FFFFFF,2021-12-21,2021-12-21,0,1
